mbid,nom,parentMbid,parentNom
ca20f188-68d2-4af5-966e-8e2e0f848758,ranchera,c5c255f9-a93d-4940-9c17-223ac887958e,regional Mexican
8d901306-d4a3-436c-a1c3-75550e5b6eaf,avant-garde jazz,b1c0c2ad-e5ae-4bb6-a1be-d66e195fd2d7,avant-garde music
a9364233-6158-4fab-bbc2-35579a74378e,Bakersfield sound,59b8a806-8bdd-45b5-978a-b5e404c910aa,honky tonk
6df6e38b-2a6f-4990-94dc-ea48eba4f8ad,futurepop,988e91a3-3341-416d-b7f8-7dbef6848dac,synth-pop
7f1133a5-0d7b-43e6-b238-7dbf2a7de1e2,African blues,fe12b346-a10e-450f-bf81-fa20894b5ea2,blues
c73392a9-adaf-4ee4-b911-97a5892ac917,gothic metal,cc28f5aa-5e19-487c-88e1-e56b022f1fdd,metal music
b07b5eec-c7f0-4529-a876-e0dd6b350084,Latin rock,7369bb8b-3399-4180-8cb2-4e37e0e7b0e7,Latin music
d017dd87-704b-4ad4-8b67-39fb401b8339,ragtime,95028731-1bcb-427f-bab4-19b223096152,parlour music
818134e3-9392-4624-a13c-c4b19c54bccd,glam metal,cc28f5aa-5e19-487c-88e1-e56b022f1fdd,metal music
86a383d3-a4cc-4690-9a0f-f8ee83f7492d,symphonic black metal,12568698-97cc-49a9-80ab-9c5e3fe4dd33,black metal
ef8227d2-a286-47af-85c8-d5b6bec1f9db,sonata,4ae63770-68af-4fae-b0f1-5e53f372c743,instrumental music
73c7a867-f928-480a-852b-179d59be79ec,neo-classical metal,cc28f5aa-5e19-487c-88e1-e56b022f1fdd,metal music
97a4a75a-6e49-4519-9684-ae2ccb2fc0f9,Italo disco,f6cd97fb-7c7c-483e-9f98-e5c0abe1b1b2,electro-disco
e94c28db-21a2-43de-9e58-8113fba2c732,neofolk,c11e4253-a888-4a2a-adde-c274b748d0b3,contemporary folk music
edc96a6f-e8d0-4006-b065-d0fe188191c9,musique concrète,e328c306-8e35-46d2-93c3-623412ec7c13,modern classical music
5e87aa2e-e212-43cb-b4ab-e706518f9e91,classic rag,bf9955d6-c3eb-466d-95ca-30f3848fc9ea,classical music
54008cd9-7725-482b-a2ed-1d31a0d54517,narcocorrido,d60ef35c-e367-4272-9b25-e3f2ecebb2aa,corrido
ba318056-9ddf-46cd-8b95-61fc993b962d,Krautrock,65c97e89-b42b-45c2-a70e-0eca1b8f0ff7,experimental rock
